                              OBS    TEMP    BRAN    REP     NUMB

                                1    17oC     b1      1     15.00
                                2    17oC     b1      2     12.00
                                3    17oC     b2      1     15.00
                                4    17oC     b2      2     18.00
                                5    17oC     b3      1      0.01
                                6    17oC     b3      2      0.01
                                7    19oC     b1      1     15.00
                                8    19oC     b1      2     10.00
                                9    19oC     b2      1     19.00
                               10    19oC     b2      2     23.00
                               11    19oC     b3      1      4.00
                               12    19oC     b3      2      5.00
                               13    22oC     b1      1      5.00
                               14    22oC     b1      2      8.00
                               15    22oC     b2      1     13.00
                               16    22oC     b2      2     15.00
                               17    22oC     b3      1     48.00
                               18    22oC     b3      2     50.00
                               19    25oC     b1      1      8.00
                               20    25oC     b1      2     10.00
                               21    25oC     b2      1     10.00
                               22    25oC     b2      2     14.00
                               23    25oC     b3      1     52.00
                               24    25oC     b3      2     50.00
                               25    28oC     b1      1     17.00
                               26    28oC     b1      2     15.00
                               27    28oC     b2      1      9.00
                               28    28oC     b2      2     11.00
                               29    28oC     b3      1     55.00
                               30    28oC     b3      2     51.00
                               31    31oC     b1      1     19.00
                               32    31oC     b1      2     15.00
                               33    31oC     b2      1      0.01
                               34    31oC     b2      2      0.01
                               35    31oC     b3      1      0.01
                               36    31oC     b3      2      0.01
