                                 Obs     vpd     bran    rep    numb
                                   1    -0.02     b1      1      15
                                   2    -0.02     b1      2       6
                                   3    -0.02     b1      3      11
                                   4    -0.02     b1      4       4
                                   5    -0.02     b2      1      34
                                   6    -0.02     b2      2      29
                                   7    -0.02     b2      3      31
                                   8    -0.02     b2      4      21
                                   9    -0.02     b3      1      32
                                  10    -0.02     b3      2      29
                                  11    -0.02     b3      3      37
                                  12    -0.02     b3      4      27
                                  13    -0.03     b1      1       5
                                  14    -0.03     b1      2      10
                                  15    -0.03     b1      3      15
                                  16    -0.03     b1      4       6
                                  17    -0.03     b2      1      15
                                  18    -0.03     b2      2      12
                                  19    -0.03     b2      3      17
                                  20    -0.03     b2      4      10
                                  21    -0.03     b3      1      53
                                  22    -0.03     b3      2      50
                                  23    -0.03     b3      3      46
                                  24    -0.03     b3      4      57
                                  25    -0.04     b1      1      23
                                  26    -0.04     b1      2      15
                                  27    -0.04     b1      3      17
                                  28    -0.04     b1      4       9
                                  29    -0.04     b2      1       8
                                  30    -0.04     b2      2      11
                                  31    -0.04     b2      3       5
                                  32    -0.04     b2      4      17
                                  33    -0.04     b3      1      55
                                  34    -0.04     b3      2      51
                                  35    -0.04     b3      3      48
                                  36    -0.04     b3      4      57
                                  37    -0.11     b1      1      10
                                  38    -0.11     b1      2       5
                                  39    -0.11     b1      3      14
                                  40    -0.11     b1      4       3
                                  41    -0.11     b2      1       2
                                  42    -0.11     b2      2       0
                                  43    -0.11     b2      3       8
                                  44    -0.11     b2      4       6
                                  45    -0.11     b3      1       2
                                  46    -0.11     b3      2       1
                                  47    -0.11     b3      3       7
                                  48    -0.11     b3      4       2
                                  49    -0.16     b1      1      15
                                  50    -0.16     b1      2       4
                                  51    -0.16     b1      3       6
                                  52    -0.16     b1      4      11
                                  53    -0.16     b2      1       2
                                  54    -0.16     b2      2       3
                                  55    -0.16     b2      3       8
                                  56    -0.16     b2      4       5
                                  57    -0.16     b3      1       2
                                  58    -0.16     b3      2       2
                                  59    -0.16     b3      3       0
                                  60    -0.16     b3      4       6
                                  61    -0.22     b1      1      12
                                  62    -0.22     b1      2       3
                                  63    -0.22     b1      3       8
                                  64    -0.22     b1      4       7
                                  65    -0.22     b2      1       5
                                  66    -0.22     b2      2       2
                                  67    -0.22     b2      3       5
                                  68    -0.22     b2      4       8
                                  69    -0.22     b3      1       2
                                  70    -0.22     b3      2       2
                                  71    -0.22     b3      3       4
                                  72    -0.22     b3      4       2
                                  73    -0.4      b1      1       4
                                  74    -0.4      b1      2      12
                                  75    -0.4      b1      3       6
                                  76    -0.4      b1      4       8
                                  77    -0.4      b2      1       4
                                  78    -0.4      b2      2       6
                                  79    -0.4      b2      3       3
                                  80    -0.4      b2      4       9
                                  81    -0.4      b3      1       1
                                  82    -0.4      b3      2       0
                                  83    -0.4      b3      3       1
                                  84    -0.4      b3      4       2
                                  85    -0.48     b1      1      10
                                  86    -0.48     b1      2       5
                                  87    -0.48     b1      3       4
                                  88    -0.48     b1      4       1
                                  89    -0.48     b2      1       5
                                  90    -0.48     b2      2       2
                                  91    -0.48     b2      3       0
                                  92    -0.48     b2      4       1
                                  93    -0.48     b3      1       1
                                  94    -0.48     b3      2       3
                                  95    -0.48     b3      3       0
                                  96    -0.48     b3      4       0
                                  97    -0.58     b1      1       8
                                  98    -0.58     b1      2       2
                                  99    -0.58     b1      3       4
                                 100    -0.58     b1      4      10
                                 101    -0.58     b2      1       8
                                 102    -0.58     b2      2       5
                                 103    -0.58     b2      3       2
                                 104    -0.58     b2      4       2
                                 105    -0.58     b3      1       1
                                 106    -0.58     b3      2       0
                                 107    -0.58     b3      3       0
                                 108    -0.58     b3      4       2
                                 109    -0.66     b1      1       2
                                 110    -0.66     b1      2       8
                                 111    -0.66     b1      3       3
                                 112    -0.66     b1      4       4
                                 113    -0.66     b2      1       4
