vpd,RH,Tm,germtubes,rep,conidia
0.026,99,22,0,1,34
0.132,95,22,0,1,86
0.397,85,22,0,1,86
0.661,75,22,0,1,92
1.19,55,22,0,1,91
1.798,32,22,0,1,93
0.026,99,22,0,2,27
0.132,95,22,0,2,86
0.397,85,22,0,2,87
0.661,75,22,0,2,90
1.19,55,22,0,2,94
1.798,32,22,0,2,95
0.132,95,22,0,3,83
0.397,85,22,0,3,91
0.661,75,22,0,3,92
1.19,55,22,0,3,92
1.798,32,22,0,3,95
0.132,95,22,0,4,89
0.397,85,22,0,4,87
0.661,75,22,0,4,89
1.19,55,22,0,4,91
1.798,32,22,0,4,92
0.026,99,22,1,1,5
0.132,95,22,1,1,0
0.397,85,22,1,1,0
0.661,75,22,1,1,1
1.19,55,22,1,1,1
1.798,32,22,1,1,1
0.026,99,22,1,2,8
0.132,95,22,1,2,0
0.397,85,22,1,2,1
0.661,75,22,1,2,2
1.19,55,22,1,2,1
1.798,32,22,1,2,0
0.132,95,22,1,3,0
0.397,85,22,1,3,0
0.661,75,22,1,3,1
1.19,55,22,1,3,0
1.798,32,22,1,3,0
0.132,95,22,1,4,1
0.397,85,22,1,4,0
0.661,75,22,1,4,2
1.19,55,22,1,4,1
1.798,32,22,1,4,1
0.026,99,22,2,1,13
0.132,95,22,2,1,3
0.397,85,22,2,1,1
0.661,75,22,2,1,2
1.19,55,22,2,1,3
1.798,32,22,2,1,2
0.026,99,22,2,2,15
0.132,95,22,2,2,2
0.397,85,22,2,2,2
0.661,75,22,2,2,1
1.19,55,22,2,2,2
1.798,32,22,2,2,3
0.132,95,22,2,3,3
0.397,85,22,2,3,1
0.661,75,22,2,3,2
1.19,55,22,2,3,3
1.798,32,22,2,3,1
0.132,95,22,2,4,1
0.397,85,22,2,4,2
0.661,75,22,2,4,3
1.19,55,22,2,4,4
1.798,32,22,2,4,2
0.026,99,22,3,1,48
0.132,95,22,3,1,11
0.397,85,22,3,1,13
0.661,75,22,3,1,5
1.19,55,22,3,1,5
1.798,32,22,3,1,4
0.026,99,22,3,2,50
0.132,95,22,3,2,12
0.397,85,22,3,2,10
0.661,75,22,3,2,7
1.19,55,22,3,2,3
1.798,32,22,3,2,2
0.132,95,22,3,3,14
0.397,85,22,3,3,8
0.661,75,22,3,3,5
1.19,55,22,3,3,5
1.798,32,22,3,3,4
0.132,95,22,3,4,9
0.397,85,22,3,4,11
0.661,75,22,3,4,6
1.19,55,22,3,4,4
1.798,32,22,3,4,5
0.032,99,25,0,1,30
0.158,95,25,0,1,85
0.475,85,25,0,1,87
0.792,75,25,0,1,89
1.425,55,25,0,1,94
2.154,32,25,0,1,94
0.032,99,25,0,2,26
0.158,95,25,0,2,90
0.475,85,25,0,2,94
0.792,75,25,0,2,93
1.425,55,25,0,2,93
2.154,32,25,0,2,93
0.158,95,25,0,3,88
0.475,85,25,0,3,91
0.792,75,25,0,3,92
1.425,55,25,0,3,94
2.154,32,25,0,3,92
0.158,95,25,0,4,84
0.475,85,25,0,4,85
0.792,75,25,0,4,90
1.425,55,25,0,4,91
2.154,32,25,0,4,96
0.032,99,25,1,1,8
0.158,95,25,1,1,1
0.475,85,25,1,1,3
0.792,75,25,1,1,2
1.425,55,25,1,1,1
2.154,32,25,1,1,0
0.032,99,25,1,2,10
0.158,95,25,1,2,0
0.475,85,25,1,2,1
0.792,75,25,1,2,2
1.425,55,25,1,2,2
2.154,32,25,1,2,1
0.158,95,25,1,3,1
0.475,85,25,1,3,2
0.792,75,25,1,3,1
1.425,55,25,1,3,1
2.154,32,25,1,3,2
0.158,95,25,1,4,1
0.475,85,25,1,4,3
0.792,75,25,1,4,1
1.425,55,25,1,4,1
2.154,32,25,1,4,1
0.032,99,25,2,1,10
0.158,95,25,2,1,3
0.475,85,25,2,1,3
0.792,75,25,2,1,4
1.425,55,25,2,1,2
2.154,32,25,2,1,3
0.032,99,25,2,2,14
0.158,95,25,2,2,2
0.475,85,25,2,2,1
0.792,75,25,2,2,2
1.425,55,25,2,2,3
2.154,32,25,2,2,2
0.158,95,25,2,3,1
0.475,85,25,2,3,2
0.792,75,25,2,3,2
1.425,55,25,2,3,3
2.154,32,25,2,3,1
0.158,95,25,2,4,2
0.475,85,25,2,4,3
0.792,75,25,2,4,1
1.425,55,25,2,4,4
2.154,32,25,2,4,1
0.032,99,25,3,1,52
0.158,95,25,3,1,11
0.475,85,25,3,1,7
0.792,75,25,3,1,5
1.425,55,25,3,1,3
2.154,32,25,3,1,3
0.032,99,25,3,2,50
0.158,95,25,3,2,8
0.475,85,25,3,2,4
0.792,75,25,3,2,3
1.425,55,25,3,2,2
2.154,32,25,3,2,4
0.158,95,25,3,3,10
0.475,85,25,3,3,5
0.792,75,25,3,3,5
1.425,55,25,3,3,2
2.154,32,25,3,3,5
0.158,95,25,3,4,13
0.475,85,25,3,4,9
0.792,75,25,3,4,8
1.425,55,25,3,4,4
2.154,32,25,3,4,2
0.038,99,28,0,1,19
0.189,95,28,0,1,85
0.567,85,28,0,1,93
0.945,75,28,0,1,95
1.701,55,28,0,1,92
2.57,32,28,0,1,94
0.038,99,28,0,2,23
0.189,95,28,0,2,85
0.567,85,28,0,2,89
0.945,75,28,0,2,88
1.701,55,28,0,2,91
2.57,32,28,0,2,94
0.189,95,28,0,3,83
0.567,85,28,0,3,88
0.945,75,28,0,3,92
1.701,55,28,0,3,93
2.57,32,28,0,3,95
0.189,95,28,0,4,90
0.567,85,28,0,4,88
0.945,75,28,0,4,92
1.701,55,28,0,4,96
2.57,32,28,0,4,96
0.038,99,28,1,1,17
0.189,95,28,1,1,1
0.567,85,28,1,1,1
0.945,75,28,1,1,0
1.701,55,28,1,1,0
2.57,32,28,1,1,1
0.038,99,28,1,2,15
0.189,95,28,1,2,0
0.567,85,28,1,2,3
0.945,75,28,1,2,3
1.701,55,28,1,2,1
2.57,32,28,1,2,2
0.189,95,28,1,3,2
0.567,85,28,1,3,2
0.945,75,28,1,3,4
1.701,55,28,1,3,1
2.57,32,28,1,3,1
0.189,95,28,1,4,0
0.567,85,28,1,4,2
0.945,75,28,1,4,5
1.701,55,28,1,4,0
2.57,32,28,1,4,1
0.038,99,28,2,1,9
0.189,95,28,2,1,4
0.567,85,28,2,1,3
0.945,75,28,2,1,3
1.701,55,28,2,1,4
2.57,32,28,2,1,2
0.038,99,28,2,2,11
0.189,95,28,2,2,3
0.567,85,28,2,2,2
0.945,75,28,2,2,4
1.701,55,28,2,2,3
2.57,32,28,2,2,3
0.189,95,28,2,3,1
0.567,85,28,2,3,5
0.945,75,28,2,3,2
1.701,55,28,2,3,2
2.57,32,28,2,3,1
0.189,95,28,2,4,2
0.567,85,28,2,4,3
0.945,75,28,2,4,1
1.701,55,28,2,4,1
2.57,32,28,2,4,2
0.038,99,28,3,1,55
0.189,95,28,3,1,10
0.567,85,28,3,1,3
0.945,75,28,3,1,2
1.701,55,28,3,1,4
2.57,32,28,3,1,3
0.038,99,28,3,2,51
0.189,95,28,3,2,12
0.567,85,28,3,2,6
0.945,75,28,3,2,5
1.701,55,28,3,2,5
2.57,32,28,3,2,1
0.189,95,28,3,3,14
0.567,85,28,3,3,5
0.945,75,28,3,3,2
1.701,55,28,3,3,4
2.57,32,28,3,3,3
0.189,95,28,3,4,8
0.567,85,28,3,4,7
0.945,75,28,3,4,2
1.701,55,28,3,4,3
2.57,32,28,3,4,1
