vpd,Tm,branches,rep,conidia
0.026,22,0,1,19
0.132,22,0,1,86
0.397,22,0,1,91
0.661,22,0,1,92
1.322,22,0,1,93
1.771,22,0,1,92
0.026,22,0,2,36
0.132,22,0,2,94
0.397,22,0,2,82
0.661,22,0,2,88
1.322,22,0,2,95
1.771,22,0,2,94
0.026,22,0,3,21
0.132,22,0,3,71
0.397,22,0,3,90
0.661,22,0,3,92
1.322,22,0,3,90
1.771,22,0,3,96
0.026,22,0,4,48
0.132,22,0,4,89
0.397,22,0,4,81
0.661,22,0,4,96
1.322,22,0,4,98
1.771,22,0,4,92
0.026,22,1,1,15
0.132,22,1,1,10
0.397,22,1,1,4
0.661,22,1,1,2
1.322,22,1,1,5
1.771,22,1,1,6
0.026,22,1,2,6
0.132,22,1,2,5
0.397,22,1,2,12
0.661,22,1,2,8
1.322,22,1,2,0
1.771,22,1,2,5
0.026,22,1,3,11
0.132,22,1,3,14
0.397,22,1,3,6
0.661,22,1,3,3
1.322,22,1,3,9
1.771,22,1,3,4
0.026,22,1,4,4
0.132,22,1,4,3
0.397,22,1,4,8
0.661,22,1,4,4
1.322,22,1,4,2
1.771,22,1,4,1
0.026,22,2,1,34
0.132,22,2,1,2
0.397,22,2,1,4
0.661,22,2,1,4
1.322,22,2,1,2
1.771,22,2,1,2
0.026,22,2,2,29
0.132,22,2,2,0
0.397,22,2,2,6
0.661,22,2,2,2
1.322,22,2,2,5
1.771,22,2,2,1
0.026,22,2,3,31
0.132,22,2,3,8
0.397,22,2,3,3
0.661,22,2,3,5
1.322,22,2,3,1
1.771,22,2,3,0
0.026,22,2,4,21
0.132,22,2,4,6
0.397,22,2,4,9
0.661,22,2,4,0
1.322,22,2,4,0
1.771,22,2,4,7
0.026,22,3,1,32
0.132,22,3,1,2
0.397,22,3,1,1
0.661,22,3,1,2
1.322,22,3,1,0
1.771,22,3,1,0
0.026,22,3,2,29
0.132,22,3,2,1
0.397,22,3,2,0
0.661,22,3,2,2
1.322,22,3,2,0
1.771,22,3,2,0
0.026,22,3,3,37
0.132,22,3,3,7
0.397,22,3,3,1
0.661,22,3,3,0
1.322,22,3,3,0
1.771,22,3,3,0
0.026,22,3,4,27
0.132,22,3,4,2
0.397,22,3,4,2
0.661,22,3,4,0
1.322,22,3,4,0
1.771,22,3,4,0
0.032,25,0,1,27
0.158,25,0,1,81
0.475,25,0,1,84
0.792,25,0,1,92
1.584,25,0,1,90
2.122,25,0,1,93
0.032,25,0,2,28
0.158,25,0,2,91
0.475,25,0,2,90
0.792,25,0,2,86
1.584,25,0,2,87
2.122,25,0,2,94
0.032,25,0,3,22
0.158,25,0,3,86
0.475,25,0,3,96
0.792,25,0,3,96
1.584,25,0,3,95
2.122,25,0,3,99
0.032,25,0,4,27
0.158,25,0,4,78
0.475,25,0,4,98
0.792,25,0,4,90
1.584,25,0,4,96
2.122,25,0,4,90
0.032,25,1,1,5
0.158,25,1,1,15
0.475,25,1,1,10
0.792,25,1,1,5
1.584,25,1,1,8
2.122,25,1,1,2
0.032,25,1,2,10
0.158,25,1,2,4
0.475,25,1,2,5
0.792,25,1,2,10
1.584,25,1,2,5
2.122,25,1,2,4
0.032,25,1,3,15
0.158,25,1,3,6
0.475,25,1,3,4
0.792,25,1,3,2
1.584,25,1,3,3
2.122,25,1,3,1
0.032,25,1,4,6
0.158,25,1,4,11
0.475,25,1,4,1
0.792,25,1,4,3
1.584,25,1,4,4
2.122,25,1,4,7
0.032,25,2,1,15
0.158,25,2,1,2
0.475,25,2,1,5
0.792,25,2,1,2
1.584,25,2,1,2
2.122,25,2,1,4
0.032,25,2,2,12
0.158,25,2,2,3
0.475,25,2,2,2
0.792,25,2,2,4
1.584,25,2,2,8
2.122,25,2,2,2
0.032,25,2,3,17
0.158,25,2,3,8
0.475,25,2,3,0
0.792,25,2,3,1
1.584,25,2,3,2
2.122,25,2,3,0
0.032,25,2,4,10
0.158,25,2,4,5
0.475,25,2,4,1
0.792,25,2,4,7
1.584,25,2,4,0
2.122,25,2,4,3
0.032,25,3,1,53
0.158,25,3,1,2
0.475,25,3,1,1
0.792,25,3,1,1
1.584,25,3,1,0
2.122,25,3,1,1
0.032,25,3,2,50
0.158,25,3,2,2
0.475,25,3,2,3
0.792,25,3,2,0
1.584,25,3,2,0
2.122,25,3,2,0
0.032,25,3,3,46
0.158,25,3,3,0
0.475,25,3,3,0
0.792,25,3,3,1
1.584,25,3,3,0
2.122,25,3,3,0
0.032,25,3,4,57
0.158,25,3,4,6
0.475,25,3,4,0
0.792,25,3,4,0
1.584,25,3,4,0
2.122,25,3,4,0
0.038,28,0,1,14
0.189,28,0,1,81
0.567,28,0,1,83
0.945,28,0,1,92
1.89,28,0,1,89
2.532,28,0,1,88
0.038,28,0,2,23
0.189,28,0,2,93
0.567,28,0,2,93
0.945,28,0,2,85
1.89,28,0,2,90
2.532,28,0,2,98
0.038,28,0,3,30
0.189,28,0,3,83
0.567,28,0,3,94
0.945,28,0,3,96
1.89,28,0,3,94
2.532,28,0,3,91
0.038,28,0,4,17
0.189,28,0,4,83
0.567,28,0,4,86
0.945,28,0,4,99
1.89,28,0,4,99
2.532,28,0,4,95
0.038,28,1,1,23
0.189,28,1,1,12
0.567,28,1,1,8
0.945,28,1,1,5
1.89,28,1,1,5
2.532,28,1,1,7
0.038,28,1,2,15
0.189,28,1,2,3
0.567,28,1,2,2
0.945,28,1,2,8
1.89,28,1,2,2
2.532,28,1,2,0
0.038,28,1,3,17
0.189,28,1,3,8
0.567,28,1,3,4
0.945,28,1,3,2
1.89,28,1,3,1
2.532,28,1,3,5
0.038,28,1,4,9
0.189,28,1,4,7
0.567,28,1,4,10
0.945,28,1,4,1
1.89,28,1,4,0
2.532,28,1,4,4
0.038,28,2,1,8
0.189,28,2,1,5
0.567,28,2,1,8
0.945,28,2,1,3
1.89,28,2,1,6
2.532,28,2,1,5
0.038,28,2,2,11
0.189,28,2,2,2
0.567,28,2,2,5
0.945,28,2,2,7
1.89,28,2,2,8
2.532,28,2,2,2
0.038,28,2,3,5
0.189,28,2,3,5
0.567,28,2,3,2
0.945,28,2,3,2
1.89,28,2,3,4
2.532,28,2,3,4
0.038,28,2,4,17
0.189,28,2,4,8
0.567,28,2,4,2
0.945,28,2,4,0
1.89,28,2,4,1
2.532,28,2,4,1
0.038,28,3,1,55
0.189,28,3,1,2
0.567,28,3,1,1
0.945,28,3,1,0
1.89,28,3,1,0
2.532,28,3,1,0
0.038,28,3,2,51
0.189,28,3,2,2
0.567,28,3,2,0
0.945,28,3,2,0
1.89,28,3,2,0
2.532,28,3,2,0
0.038,28,3,3,48
0.189,28,3,3,4
0.567,28,3,3,0
0.945,28,3,3,0
1.89,28,3,3,1
2.532,28,3,3,0
0.038,28,3,4,57
0.189,28,3,4,2
0.567,28,3,4,2
0.945,28,3,4,0
1.89,28,3,4,0
2.532,28,3,4,0
