Tm,germtubes,rep,conidia
8,0,1,100
8,0,2,100
8,1,1,0
8,1,2,0
8,2,1,0
8,2,2,0
8,3,1,0
8,3,2,0
17,0,1,70
17,0,2,70
17,1,1,15
17,1,2,12
17,2,1,15
17,2,2,18
17,3,1,0
17,3,2,0
19,0,1,62
19,0,2,62
19,1,1,15
19,1,2,10
19,2,1,19
19,2,2,23
19,3,1,4
19,3,2,5
22,0,1,34
22,0,2,27
22,1,1,5
22,1,2,8
22,2,1,13
22,2,2,15
22,3,1,48
22,3,2,50
25,0,1,30
25,0,2,26
25,1,1,8
25,1,2,10
25,2,1,10
25,2,2,14
25,3,1,52
25,3,2,50
28,0,1,19
28,0,2,23
28,1,1,17
28,1,2,15
28,2,1,9
28,2,2,11
28,3,1,55
28,3,2,51
31,0,1,81
31,0,2,85
31,1,1,19
31,1,2,15
31,2,1,0
31,2,2,0
31,3,1,0
31,3,2,0
35,0,1,100
35,0,2,100
35,1,1,0
35,1,2,0
35,2,1,0
35,2,2,0
35,3,1,0
35,3,2,0
