Obs,RH,Tm,vpd,bran,rep,numb
1,99,22,0.026,1,1,15
2,99,22,0.026,1,2,6
3,99,22,0.026,1,3,11
4,99,22,0.026,1,4,4
5,99,22,0.026,2,1,34
6,99,22,0.026,2,2,29
7,99,22,0.026,2,3,31
8,99,22,0.026,2,4,21
9,99,22,0.026,3,1,32
10,99,22,0.026,3,2,29
11,99,22,0.026,3,3,37
12,99,22,0.026,3,4,27
13,99,25,0.032,1,1,5
14,99,25,0.032,1,2,10
15,99,25,0.032,1,3,15
16,99,25,0.032,1,4,6
17,99,25,0.032,2,1,15
18,99,25,0.032,2,2,12
19,99,25,0.032,2,3,17
20,99,25,0.032,2,4,10
21,99,25,0.032,3,1,53
22,99,25,0.032,3,2,50
23,99,25,0.032,3,3,46
24,99,25,0.032,3,4,57
25,99,28,0.038,1,1,23
26,99,28,0.038,1,2,15
27,99,28,0.038,1,3,17
28,99,28,0.038,1,4,9
29,99,28,0.038,2,1,8
30,99,28,0.038,2,2,11
31,99,28,0.038,2,3,5
32,99,28,0.038,2,4,17
33,99,28,0.038,3,1,55
34,99,28,0.038,3,2,51
35,99,28,0.038,3,3,48
36,99,28,0.038,3,4,57
37,95,22,0.132,1,1,10
38,95,22,0.132,1,2,5
39,95,22,0.132,1,3,14
40,95,22,0.132,1,4,3
41,95,22,0.132,2,1,2
42,95,22,0.132,2,2,0
43,95,22,0.132,2,3,8
44,95,22,0.132,2,4,6
45,95,22,0.132,3,1,2
46,95,22,0.132,3,2,1
47,95,22,0.132,3,3,7
48,95,22,0.132,3,4,2
49,95,25,0.158,1,1,15
50,95,25,0.158,1,2,4
51,95,25,0.158,1,3,6
52,95,25,0.158,1,4,11
53,95,25,0.158,2,1,2
54,95,25,0.158,2,2,3
55,95,25,0.158,2,3,8
56,95,25,0.158,2,4,5
57,95,25,0.158,3,1,2
58,95,25,0.158,3,2,2
59,95,25,0.158,3,3,0
60,95,25,0.158,3,4,6
61,95,28,0.189,1,1,12
62,95,28,0.189,1,2,3
63,95,28,0.189,1,3,8
64,95,28,0.189,1,4,7
65,95,28,0.189,2,1,5
66,95,28,0.189,2,2,2
67,95,28,0.189,2,3,5
68,95,28,0.189,2,4,8
69,95,28,0.189,3,1,2
70,95,28,0.189,3,2,2
71,95,28,0.189,3,3,4
72,95,28,0.189,3,4,2
73,85,22,0.396,1,1,4
74,85,22,0.396,1,2,12
75,85,22,0.396,1,3,6
76,85,22,0.396,1,4,8
77,85,22,0.396,2,1,4
78,85,22,0.396,2,2,6
79,85,22,0.396,2,3,3
80,85,22,0.396,2,4,9
81,85,22,0.396,3,1,1
82,85,22,0.396,3,2,0
83,85,22,0.396,3,3,1
84,85,22,0.396,3,4,2
85,85,25,0.475,1,1,10
86,85,25,0.475,1,2,5
87,85,25,0.475,1,3,4
88,85,25,0.475,1,4,1
89,85,25,0.475,2,1,5
90,85,25,0.475,2,2,2
91,85,25,0.475,2,3,0
92,85,25,0.475,2,4,1
93,85,25,0.475,3,1,1
94,85,25,0.475,3,2,3
95,85,25,0.475,3,3,0
96,85,25,0.475,3,4,0
97,85,28,0.567,1,1,8
98,85,28,0.567,1,2,2
99,85,28,0.567,1,3,4
100,85,28,0.567,1,4,10
101,85,28,0.567,2,1,8
102,85,28,0.567,2,2,5
103,85,28,0.567,2,3,2
104,85,28,0.567,2,4,2
105,85,28,0.567,3,1,1
106,85,28,0.567,3,2,0
107,85,28,0.567,3,3,0
108,85,28,0.567,3,4,2
109,75,22,0.661,1,1,2
110,75,22,0.661,1,2,8
111,75,22,0.661,1,3,3
112,75,22,0.661,1,4,4
113,75,22,0.661,2,1,4
114,75,22,0.661,2,2,2
115,75,22,0.661,2,3,5
116,75,22,0.661,2,4,0
117,75,22,0.661,3,1,2
118,75,22,0.661,3,2,2
119,75,22,0.661,3,3,0
120,75,22,0.661,3,4,0
121,75,25,0.792,1,1,5
122,75,25,0.792,1,2,10
123,75,25,0.792,1,3,2
124,75,25,0.792,1,4,3
125,75,25,0.792,2,1,2
126,75,25,0.792,2,2,4
127,75,25,0.792,2,3,1
128,75,25,0.792,2,4,7
129,75,25,0.792,3,1,1
130,75,25,0.792,3,2,0
131,75,25,0.792,3,3,1
132,75,25,0.792,3,4,0
133,75,28,0.945,1,1,5
134,75,28,0.945,1,2,8
135,75,28,0.945,1,3,2
136,75,28,0.945,1,4,1
137,75,28,0.945,2,1,3
138,75,28,0.945,2,2,7
139,75,28,0.945,2,3,2
140,75,28,0.945,2,4,0
141,75,28,0.945,3,1,0
142,75,28,0.945,3,2,0
143,75,28,0.945,3,3,0
144,75,28,0.945,3,4,0
145,50,22,1.322,1,1,5
146,50,22,1.322,1,2,0
147,50,22,1.322,1,3,9
148,50,22,1.322,1,4,2
149,50,22,1.322,2,1,2
150,50,22,1.322,2,2,5
151,50,22,1.322,2,3,1
152,50,22,1.322,2,4,0
153,50,22,1.322,3,1,0
154,50,22,1.322,3,2,0
155,50,22,1.322,3,3,0
156,50,22,1.322,3,4,0
157,50,25,1.583,1,1,8
158,50,25,1.583,1,2,5
159,50,25,1.583,1,3,3
160,50,25,1.583,1,4,4
161,50,25,1.583,2,1,2
162,50,25,1.583,2,2,8
163,50,25,1.583,2,3,2
164,50,25,1.583,2,4,0
165,50,25,1.583,3,1,0
166,50,25,1.583,3,2,0
167,50,25,1.583,3,3,0
168,50,25,1.583,3,4,0
169,50,28,1.889,1,1,5
170,50,28,1.889,1,2,2
171,50,28,1.889,1,3,1
172,50,28,1.889,1,4,0
173,50,28,1.889,2,1,6
174,50,28,1.889,2,2,8
175,50,28,1.889,2,3,4
176,50,28,1.889,2,4,1
177,50,28,1.889,3,1,0
178,50,28,1.889,3,2,0
179,50,28,1.889,3,3,1
180,50,28,1.889,3,4,0
181,33,22,1.771,1,1,6
182,33,22,1.771,1,2,5
183,33,22,1.771,1,3,4
184,33,22,1.771,1,4,1
185,33,22,1.771,2,1,2
186,33,22,1.771,2,2,1
187,33,22,1.771,2,3,0
188,33,22,1.771,2,4,7
189,33,22,1.771,3,1,0
190,33,22,1.771,3,2,0
191,33,22,1.771,3,3,0
192,33,22,1.771,3,4,0
193,33,25,2.122,1,1,2
194,33,25,2.122,1,2,4
195,33,25,2.122,1,3,1
196,33,25,2.122,1,4,7
197,33,25,2.122,2,1,4
198,33,25,2.122,2,2,2
199,33,25,2.122,2,3,0
200,33,25,2.122,2,4,3
201,33,25,2.122,3,1,1
202,33,25,2.122,3,2,0
203,33,25,2.122,3,3,0
204,33,25,2.122,3,4,0
205,33,28,2.532,1,1,7
206,33,28,2.532,1,2,0
207,33,28,2.532,1,3,5
208,33,28,2.532,1,4,4
209,33,28,2.532,2,1,5
210,33,28,2.532,2,2,2
211,33,28,2.532,2,3,4
212,33,28,2.532,2,4,1
213,33,28,2.532,3,1,0
214,33,28,2.532,3,2,0
215,33,28,2.532,3,3,0
216,33,28,2.532,3,4,0
