vpd,Tm,RH,rep,germ_tubes,n,non_germ
0.132,22,95,1,1,0,86
0.132,22,95,2,1,0,86
0.132,22,95,3,1,0,83
0.132,22,95,4,1,1,89
0.132,22,95,1,2,3,86
0.132,22,95,2,2,2,86
0.132,22,95,3,2,3,83
0.132,22,95,4,2,1,89
0.132,22,95,1,3,11,86
0.132,22,95,2,3,12,86
0.132,22,95,3,3,14,83
0.132,22,95,4,3,9,89
0.158,25,95,1,1,1,85
0.158,25,95,2,1,0,90
0.158,25,95,3,1,1,88
0.158,25,95,4,1,1,84
0.158,25,95,1,2,3,85
0.158,25,95,2,2,2,90
0.158,25,95,3,2,1,88
0.158,25,95,4,2,2,84
0.158,25,95,1,3,11,85
0.158,25,95,2,3,8,90
0.158,25,95,3,3,10,88
0.158,25,95,4,3,13,84
0.189,28,95,1,1,1,85
0.189,28,95,2,1,0,85
0.189,28,95,3,1,2,83
0.189,28,95,4,1,0,90
0.189,28,95,1,2,4,85
0.189,28,95,2,2,3,85
0.189,28,95,3,2,1,83
0.189,28,95,4,2,2,90
0.189,28,95,1,3,10,85
0.189,28,95,2,3,12,85
0.189,28,95,3,3,14,83
0.189,28,95,4,3,8,90
0.396,22,85,1,1,0,86
0.396,22,85,2,1,1,87
0.396,22,85,3,1,0,91
0.396,22,85,4,1,0,87
0.396,22,85,1,2,1,86
0.396,22,85,2,2,2,87
0.396,22,85,3,2,1,91
0.396,22,85,4,2,2,87
0.396,22,85,1,3,13,86
0.396,22,85,2,3,10,87
0.396,22,85,3,3,8,91
0.396,22,85,4,3,11,87
0.475,25,85,1,1,3,87
0.475,25,85,2,1,1,94
0.475,25,85,3,1,2,91
0.475,25,85,4,1,3,85
0.475,25,85,1,2,3,87
0.475,25,85,2,2,1,94
0.475,25,85,3,2,2,91
0.475,25,85,4,2,3,85
0.475,25,85,1,3,7,87
0.475,25,85,2,3,4,94
0.475,25,85,3,3,5,91
0.475,25,85,4,3,9,85
0.567,28,85,1,1,1,93
0.567,28,85,2,1,3,89
0.567,28,85,3,1,2,88
0.567,28,85,4,1,2,88
0.567,28,85,1,2,3,93
0.567,28,85,2,2,2,89
0.567,28,85,3,2,5,88
0.567,28,85,4,2,3,88
0.567,28,85,1,3,3,93
0.567,28,85,2,3,6,89
0.567,28,85,3,3,5,88
0.567,28,85,4,3,7,88
0.661,22,75,1,1,1,92
0.661,22,75,2,1,2,90
0.661,22,75,3,1,1,92
0.661,22,75,4,1,2,89
0.661,22,75,1,2,2,92
0.661,22,75,2,2,1,90
0.661,22,75,3,2,2,92
0.661,22,75,4,2,3,89
0.661,22,75,1,3,5,92
0.661,22,75,2,3,7,90
0.661,22,75,3,3,5,92
0.661,22,75,4,3,6,89
0.792,25,75,1,1,2,89
