RH,Tm,vpd,i_period,rep,germ_n,non_germ_n
99,28,0.038,12,1,56,44
99,28,0.038,12,2,54,46
99,28,0.038,12,3,52,48
99,28,0.038,12,4,50,50
99,28,0.038,24,1,64,36
99,28,0.038,24,2,65,35
99,28,0.038,24,3,60,40
99,28,0.038,24,4,63,37
99,28,0.038,36,1,83,17
99,28,0.038,36,2,80,20
99,28,0.038,36,3,77,23
99,28,0.038,36,4,79,21
99,28,0.038,48,1,86,14
99,28,0.038,48,2,82,18
99,28,0.038,48,3,88,12
99,28,0.038,48,4,85,15
95,28,0.189,12,1,8,92
95,28,0.189,12,2,13,87
95,28,0.189,12,3,12,88
95,28,0.189,12,4,12,88
95,28,0.189,24,1,13,87
95,28,0.189,24,2,11,89
95,28,0.189,24,3,11,89
95,28,0.189,24,4,14,86
95,28,0.189,36,1,15,85
95,28,0.189,36,2,13,87
95,28,0.189,36,3,17,83
95,28,0.189,36,4,14,86
95,28,0.189,48,1,16,84
95,28,0.189,48,2,16,84
95,28,0.189,48,3,14,86
95,28,0.189,48,4,13,87
85,28,0.567,12,1,11,89
85,28,0.567,12,2,9,91
85,28,0.567,12,3,7,93
85,28,0.567,12,4,8,92
85,28,0.567,24,1,12,88
85,28,0.567,24,2,11,89
85,28,0.567,24,3,14,86
85,28,0.567,24,4,12,88
85,28,0.567,36,1,9,91
85,28,0.567,36,2,11,89
85,28,0.567,36,3,14,86
85,28,0.567,36,4,12,88
85,28,0.567,48,1,11,89
85,28,0.567,48,2,15,85
85,28,0.567,48,3,13,87
85,28,0.567,48,4,17,83
75,28,0.945,12,1,4,96
75,28,0.945,12,2,3,97
75,28,0.945,12,3,4,96
75,28,0.945,12,4,5,95
75,28,0.945,24,1,7,93
75,28,0.945,24,2,8,92
75,28,0.945,24,3,6,94
75,28,0.945,24,4,6,94
75,28,0.945,36,1,5,95
75,28,0.945,36,2,5,95
75,28,0.945,36,3,8,92
75,28,0.945,36,4,10,90
75,28,0.945,48,1,8,92
75,28,0.945,48,2,10,90
75,28,0.945,48,3,15,85
75,28,0.945,48,4,15,85
55,28,1.7,12,1,5,95
55,28,1.7,12,2,4,96
55,28,1.7,12,3,8,92
55,28,1.7,12,4,4,96
55,28,1.7,24,1,13,87
55,28,1.7,24,2,12,88
55,28,1.7,24,3,12,88
55,28,1.7,24,4,10,90
55,28,1.7,36,1,11,89
55,28,1.7,36,2,13,87
55,28,1.7,36,3,16,84
55,28,1.7,36,4,11,89
55,28,1.7,48,1,15,85
55,28,1.7,48,2,11,89
55,28,1.7,48,3,16,84
55,28,1.7,48,4,18,82
32,28,2.57,12,1,4,96
32,28,2.57,12,2,5,95
32,28,2.57,12,3,3,97
32,28,2.57,12,4,5,95
32,28,2.57,24,1,7,93
32,28,2.57,24,2,11,89
32,28,2.57,24,3,11,89
32,28,2.57,24,4,10,90
32,28,2.57,36,1,11,89
32,28,2.57,36,2,12,88
32,28,2.57,36,3,7,93
32,28,2.57,36,4,11,89
32,28,2.57,48,1,11,89
32,28,2.57,48,2,12,88
32,28,2.57,48,3,14,86
32,28,2.57,48,4,11,89
99,25,0.032,12,1,32,68
99,25,0.032,12,2,31,69
99,25,0.032,12,3,29,71
99,25,0.032,12,4,30,70
99,25,0.032,24,1,52,48
99,25,0.032,24,2,54,46
99,25,0.032,24,3,51,49
